Type,Tweet
Politics,Meeting with G Finance Ministers and Central Bank Governors as part of Russias G presidency http//t.co/mKfscIo
Politics,RT GulzarPoetry bahut khubsurat hai har baat lekinagar dil bhi hota toh kya baat hoti//likhi jaati phir daastaanemohabbatik afsaan ...
Sports,st Test. Over   run (D Warner  E Cowan ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,RT ESPNNFL BLAZINGSPEED  Cal DB Steve Williams unoffiical . Forty  ChrisJohnson you watching  NFLCombine
Sports,Out Lyon you ripper Bowls Tendulkar through the gate Big spin takes the edge onto stumps. Great pressure. Out for   INDvAUS
Sports,Vijay bowled neck and crop. Sehwag unlucky but had not quite looked on top of the bowling. Opening woes continue...
Sports,Good morning everyone its a lovely day down in Cobham as the squad returns to training after a day off. CFC
Politics,Video in English Press Conference by Chief Cabinet Secretary Fujimura (December  (AM)) http//t.co/GKBIQp
Sports,Highlights of Ian Bells hundred in Queenstown are available to watch here http//t.co/DZKAhV NZvEng
Politics,RT DefenceHQ World War II war heroes to receive new Arctic Star and Bomber Command clasp within weeks. http//t.co/sVLzKkcJcY
Politics,The key to stopping poverty in India Land reform http//t.co/OAawSgn
Sports,jh hes in the Test squad ; the team hasnt been selected yet for the first Test. Youll find out that on the morning of the st Test
Politics,Obama By the end of next year our war in Afghanistan will be over. SOTU
Politics,Vladimir Putin will meet with President of the Republic of the Congo Denis SassouNguesso on November  http//t.co/XGHcoXN
Politics,A rice farmer in Vietnam can lose % of harvest before it reaches the market. How to prevent loss http//t.co/XuWhAPB KeepWhatUReap
Sports,Wolves manager Mick McCarthy is optimistic that winger Steven Hunt will be fit to make his debut by October.
Sports,GBFedCup Watson holds for
Politics,Lets Move Anniversary News Recipe Partnership Makes It Easy for Families to Eat Healthier at Home http//t.co/qouHtvien
Politics,Why Taking Tax Rates Off the Table Threatens NonProfits and Charitable Giving http//t.co/OWYOOP
Politics,madmanweb ah well hate attracts more attention doesnt it. Flip side of the job which comes with much love too
Politics,Soourabh thanks. Take care
Politics,A blind pursuit of cheap popularity has nothing to do with revolution NelsonMandela
Politics,RT PMOIndia PMs remarks after allparty meeting on the eve of the Budget Session of the Parliament  http//t.co/WTmIoURE
Politics,Meeting on the main tasks and events for environmental protection in  http//t.co/ZGYjUSOB http//t.co/kdWfRn
Sports,deepakmohoni Yes possible
Politics,Dont Miss Out Tickets Lottery for the  Easter Egg Roll Opens Today http//t.co/lhTLTwjt
Sports,Calling all stats buffs What is most telling in this ausopen tale of the tape between Federer ; andy_murray http//t.co/RdZSH atp
Sports,.TommyHaas up to No. ; nalbandiandavid rises  spots to No. . Latest EmiratesATPRankings http//t.co/OGnmCtb atp tennis
Politics,In February the Government will read a draft programme on financial market development and establishment of an international finance centre
Sports,The DRS gaffes are no laughing matter but let that not hold you back. http//t.co/gxBc
Politics,Most romantic place in Europe Having breakfast in French chateau says MissMarchand Tweet you suggestion with loveeurope
Sports,GOAL  Fulham. The hosts quickly double their lead after a loose pass out from Killip is pounced on by Tankovic who finishes confidently.
Politics,My quarterly Newsletter is out. Please visit http//t.co/DFISGcVv for more information
Politics,cgoggins FOI request  can you DM your email address to us so we can reply. Thanks
Sports,holdaways no mate. In a very hot Sydney still staring at the football results from last night
Sports,AusGP ambassador chelscanlan hanging with the nitrocircuslive boys jarrydmcneil bilkodotcom stevemini http//t.co/NfbHsWig
Politics,RT whitehouse Obama I m also issuing a new goal for America let s cut in half the energy wasted by our homes ; businesses over ...
Politics,The PresidencyZA has issued an updated statement about Madibas health http//t.co/GFWrJd
Sports,Benitez Frank Lampard took a good penalty but it was a good save so it is credit to Joe Hart. CFC
Politics,.BarackObama hasnt been able to define what hes going to do to make America strong going forward. I have. http//t.co/odseevT
Sports,GBFedCup Bulgaria gets another break for
Politics,Weekly Wrap Up  cWe Can Make a Difference d  Watch the West Wing Week Here. Heres a quick glimpse at what happe... http//t.co/PqNAn
Sports,Results U Winter Cup finals SF GB  CZE. Mikheeva won ;. Georgie Axon lost ;. Axon/Katie Swan lost doubles ;. Play Romania tomo
Sports,You generally dont see goalies scoring. Enter this handball goalie ; http//t.co/gNkbawQRbf
Politics,RT if you support President Obamas plan to create jobs and grow the middle class. JobsNow http//t.co/COagOn
Politics,Railway Budget Project of SMS alerts to passengers providing updates on reservation status
Sports,HausOfChloe Youre welcome A picture of you in your gear
Sports,Brendon McCullum is not giving up the fight and follows two pulled fours with a straight six off Finn NZvEng
Politics,PM Theres growing frustration that EU is seen as something that is done to people rather than acting on their behalf EUspeech
Sports,ConnorArmstrong *Connor (sorry)
Sports,RT MandyJJ HeatherWatson Just bought tickets to the Aegon Classic is it one of your stops this summer Do we get hugs w great support
Politics,.MaxBoot on the long history of terrorism and guerilla tactics http//t.co/xEFqHefV
Politics,Despite all the past failures a U.S.EU trade agreement could actually happen this time http//t.co/npRGlo
Sports,justacword andrewcfc haha Some great poses in their from joeroot though
Politics,Medvedev Monthly benefits for the birth of a third and subsequent children have been introduced in  demographic crisis regions in
Politics,Video in English Press Conference by Chief Cabinet Secretary Fujimura (November  (AM)) http//t.co/vigDqdr
Politics,Vladimir Putin signs order giving Gerard Depardieu Russian citizenship
Politics,Video in English Press Conference by Chief Cabinet Secretary Suga (January  (PM)) http//t.co/wPHNgr
Politics,Heres the best place to watch President Obamas SOTU address tonight at pm ET http//t.co/pUupnE
Sports,RT sarahborwell Loving seeing all the Brits in Iowa City such a high standard of tennis. http//t.co/QjqOkhGg
Politics,dasmathur thats the fear. Numbed into no feeling
Politics,Expanded meeting of the Government http//t.co/cDlhuo
Sports,gonzosintuiter Aww thanks and hello to everyone in Chile )
Sports,RT jadande Jerry Buss suite is empty with an illuminated chair in the middle.
Politics,Maha CM told me after mumbai serial blasts that CCTVs for city were stuck in red tape. Now not working in Hyderabad. Life is Cheap folks
Sports,fwesty  days to FP
Politics,Dont forget to follow our team RomneyResponse Alcivar kristymcampbell Brendan_Buck AMHenneberg RyanGOP noonanjo
Politics,RT CONX  billion dollars of grain is lost annually in SubSaharan Africa more than all of the aid sent there in the past decade.  ...
Sports,cnetcitizen today is good for my fantasy league team Amla AB Afridi ;) d I too have Afridi. He is a boss And has been for  years.
Politics,Medvedev Europe s banking crisis US debt problems China s structural risks   these topics will be in the spotlight of the G
Sports,OUT Roach strikes again and claims Voges. Tough task now for the Scorchers.  off  with Hoggy striding to the crease. BBL bigfinals
Sports,cdanielricciardo Hey guys for more  pics from Jerez testing check out my website http//t.co/lmPQXv d
Politics,RT USCGPeshawar Did you miss SecKerry s address UVA yesterday Watch the video http//t.co/ofsNJuzWW | Read his remarks http//t. ...
Sports,Remember that England needs to win this series  if it is going to reclaim the top spot in the iccrankings for ODI cricket.
Sports,pj it depends on the competition  free hits arent a law of the game
Sports,This weeks WorldTennisNews includes our report on Zeballos pipping Nadal in Chile and the titles for Cilic ; Gasquet http//t.co/UXYV
Sports,LIVE New Zealand v England http//t.co/ULZRcmeQM
Politics,New issue Read about Japans cautious hawks the Soviet spy who built modern capitalism Israels warlords + more. http//t.co/PoMimp
Sports,RT MrsRottmann ausgrandprix our boys cant wait for this year Flights booked earphones packed BRING IT ON http//t.co/OsVQyLgRy
Politics,PM My message to foreign business Britain has one of most open ; flexible economies  come and invest come and create jobs. WEF
Politics,Statement by the Chief Cabinet Secretary on North Koreas launch of missile (distributed at the nd Press Conference)  http//t.co/ETWRVbh
Politics,Armenia MEPs Cabrnoch ArnaudDanjean Elena_Basescu EvaJoly r_czarnecki join OSCE election observers after shooting of candidate
Politics,Michelle Obama arrives Item  SOTU.
Sports,Tiwary gets a ton too. Indian batsmen making runs aplenty this season everywhere  except in Tests (barring Pujara) which is the problem..
Sports,Prikryl takes a shot and Cech saves pushing the ball out for a corner which is saved. CFC
Politics,SAMI_hadyh thanks.
Sports,Murray could almost see the match slipping away in front of his eyes. AusOpen pete Djokovic http//t.co/Sjnpmn
Sports,RT CardioTennis_UK GB Paralympians take part in Cardio Tennis . . http//t.co/FBHuydj ParalympicsGB
Politics,CNN projects Obama wins state of Michigan   (GRAPHIC) POTU
Politics,Also check out his article which argues that U.S. drone strikes in Yemen do not actually empower al Qaeda http//t.co/DqYOFL
Politics,Economic Survey Indian economy likely to grow between .% to .% in
Sports,Watch Cameron White blast  off only  balls http//t.co/qLvMCp BBL bigfinals
Politics,President Obama I will not sign a plan that harms the middle class. JobsNow
Politics,Future of EU defence fewer cuts and more cooperation. Article http//t.co/euXtOZF
Sports,TottenhamHotspur have made a claim for compensation after Jermain Defoe got injured on internation duty with England.
Sports,Indias fielding again disappointing Jadjea being the exception.He was brilliant thru the day. All said ; done also only support for Ashwin
Sports,And thats that. Beer gone for Australia Beer flows for England. End of a great series. ashes
Sports,reece_d they are just for Twenty matches  I would say theyre rare but I saw  in one day a couple of Finals Days ago
Sports,Pakistan innings unravelling after lunch. / now http//t.co/YqTIYB SAvPak
Politics,Photo Here s a shot of the convoy at night. Quite a site En route Sylhet. Miles to go.. http//t.co/IJpmlHSU
Sports,Full time in the NextGenSeries  FCBarcelona  chelseafc. Quarterfinal draw is Friday. CFC
Sports,Very busy press room down here at Cobham. Well have updates here shortly... CFC
Politics,White Board Heres Whats in the Taxpayer Relief Act of  http//t.co/bZhtP
Politics,So far  companies like Jet Airways DHL McDonalds participated  candidates applied ; offers were made to ;. Expecting more tom
Sports,jacklynyong Ok thanks for the feedback.
Politics,shammybaweja yes did a show on this last week with a young boy picked up on false charges in hyderabad ironically
Sports,st Test. Over   runs (J Pattinson  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Politics,Law signed on the sanctions for violating human rights and liberties and the rights and freedoms of Russian citizens http//t.co/acYyQBuc
Sports,st Test. Over   runs (M Clarke  D Warner ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,INDvAUS Tea on Day Two. India . jpattinson with both wickets. Scorecard here http//t.co/SHuuuOqH
Politics,Obama plans to appoint MITs Ernest Moniz as energy secretary. His case for nuclear power http//t.co/xZxQQXKKd
Politics,Live webchat with Lincoln scholar ; Civil War Era expert HaroldHolzer Feb. at EST/UTC http//t.co/DywjuHOIIs usembislamabad CONX
Politics,Medvedev One of our priorities is to create a competitive research and development sector and to ensure stable demand for its products
Politics,Vladimir Putin has wished foreign heads of state and government a Happy Christmas and New Year http//t.co/NMzsXOD
Politics,Follow EU_Budget for more updates on EUbudget ; MFF discussion with EUhvr ; Barroso_EU. Live stream http//t.co/AyPzx
Politics,At a dinner hosted by the Indian community. There are  PIOs in Panama mainly Sindhis Gujaratis ; Punjabis http//t.co/EJGGVD
Politics,State debt remains low Russia has one of the lowest debt rates among developed economies
Politics,Education is the most powerful weapon we can use to change the world NelsonMandela
Politics,December  NelsonMandela banned for six months under the Riotous Assemblies Act
Sports,Hashim Amla and Vernon Philander have both achieved career best ratings in the Reliance ICC Test Rankings http//t.co/WtgUqOcti
Politics,FACT Obamas plan would slash our reliance on foreign oil create jobs and cut energy costs by doubling clean energy production. JobsNow
Politics,Photo Convoy crossing the Gorai River Bridge. En route Dhaka bcim http//t.co/wCnqzOdiKa
Sports,RT mstarc  c_SouthernStars Ellyse Perry has just finished her th over her figures stand at  not too shabby wwc d   Serious ...
Politics,AnandNemlekar thanks
Politics,English Translation of the New Years Press Conference by Prime Minister Shinzo Abe on January   http//t.co/IvaNcuM
Sports,LeBron had FORTY points tonight. Not impressed He also had SIXTEEN assists in a MiamiHEAT double OT win.
Sports,Will be giving updates and news on premiership as soon as it happens. Fixture news will be given day before fixture. Results given on day.
Sports,Thanks for all your replies to the tuesdaytrivia question. The answer is Jimmy Sinclair at the old Wanderers Ground in Johannesburg.
Politics,Summary of Emergency Economic Measures for the Revitalization of the Japanese Economy (Cabinet Decision on January ) http//t.co/VfLbzU
Sports,RT TennisHalloFame Kudos ; thanks to AustralianOpen social media team for great coverage to make all of us in different time zone ...
Sports,Djokovic It is logical to expect top  players to always be contenders to win trophy but never want to underestimate others. AusOpen
Sports,More on the goal... with the last kick of the game Hazard smashes the ball into the back of the net. CFC
Politics,Smoking can new rules help to stub out a nasty habit Europarl_en to discuss measures. Check out our infographic. http//t.co/TuZbvCj
Sports,clogicca Ok well take that feedback on. Thanks )
Politics,Vladimir Putin has met with his authorized representatives who supported him during the election campaign http//t.co/fOMFP
Sports,Lehmann like Lukes new look http//t.co/kbrLCyDD BBL bigfinals
Sports,Man Utd  Paul Scholes is sat in with the oafc fans  You can take the boy out of Oldham... efc  oafc. http//t.co/VTYllxrKZ
Sports,adityamea Yep very handy
Sports,RT livemint The decision to exclude wrestling from the  Olympics shocked athletes. Now a fightback is brewing http//t.co/vmmuEvF
Sports,Cuellar Hey follow us and help us to get more followers it would be highly appreciated. What do you make on the Houllier appointment
Sports,st Test. Over   runs (M Wade  M Clarke ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,teamNovak ; TeamAusOpen celebrate http//t.co/LqfBkkd
Sports,Glenn Maxwell made a duck on the day he was bought by Mumbai Indians for a million USD and a duck in his first match on Indian soil...hmmm
Sports,Well done to the GB U Boys who are in the final of the TennisEurope Winter Cups tomorrow and await the winners of Serbia V Czech Republic
Sports,Next question Happy with the bowling performance of India (I am actually eve if the match has gone into the fifth day).
Sports,Ian Bell gone but England with an easy task in Auckland http//t.co/EYxmICVH cricket NZvEng
Sports,The last  has come off only  balls including this m giant http//t.co/HQHURi BBL bigfinals
Sports,st Test. Over   run (N Lyon  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Sports,In this weeks KeepingTrack podcast Bernie Ecclestone says he wants AusGP to stay in Melbourne for another  years http//t.co/RxZLKTHV
Sports,RT FOX_CRICKET Tune into FS ch  from pm EDT as we bring you the final of BBL between ScorchersBBL ; HeatBBL at the WACA ...
Politics,RT kaushal MyIndia Initiative  Register as a Digital Volunteer by MIB_India http//t.co/UuAsebNbi via MilindDeora
Politics,An outrage a day keeps Twitter in sway. Getting a bit predictable I say.
Politics,Two blasts in Dilsukh Nagar in Hyderabad several casualties o reported injured.
Politics,State Council Presidium meeting development of industry in the Far East and the TransBaikal Territory housing issues http//t.co/etxpnb
Politics,Dr. Rajan Fiscal consolidation will create more space for monetary policies to act
Sports,Tendulkar Dravid Laxman Kumble Kapil Gavaskar Vengsarkar Ganguly Sehwag.... And Harbhajan. Tests http//t.co/sODIWGkK
Politics,shammybaweja true. tragic.
Sports,The GB boys  U Winter Cups team are ready to go at the final stages in Reggio Italy http//t.co/aFPwZkdV
Sports,GBFedCup Watson breaks for
Sports,RT OfficialOAFC Tonights game has been postponed http//t.co/GemVBQE http//t.co/xBprLh
Politics,CT Senate Race Chris Murphy speaking now NS CH
Politics,U.S. Senator Bill Nelson will come out momentarily to speak to the media. Live signal on NS CH . Source cfnews     Source Central...
Sports,http//t.co/StjnXNxr scores New Zealand XI vs England  http//t.co/ViJNpfa
Politics,Gen. McChrsytal The role I had in Iraq is sexy...satisfying...manly...scratches an itch in American culture. http//t.co/ITvZuO
Politics,Reducing Pollution For All American Families  When I first became Administrator of the U.S. Environmental Prote... http//t.co/ZBKMa
Sports,RT juanmata One Hour Behind A new victory to overcome disappointment http//t.co/eeZeeJRYO Decepcifn se supera con un triunfo http ...
Politics,PM I want Europe to be a success and I want a relationship between Britain ; EU that keeps us in it. EUspeech
Sports,It is only  days to the start of the ct and we want you to help us put together the city guides for the event ctguide
Politics,What happens in Italy affects all of us. I hope Italy will find a way to its stability MartinSchulz about the Italian elections results.
Sports,WATCH HeatBBL celebrate their BBL victory http//t.co/sNsVMsu bigfinals
Sports,INDvAUS scores are level
Sports,What a morning of drama in Cape Town. Pakistan is in trouble at . Does it have enough runs to record a victory
Sports,RT rgcricket Dhoni now has the highest score by a keepercaptain beats Alec Stewart s  vs SA  IndvAus
Sports,RT BrettLee_ sthalekar congrats to you and the girls awesome effort. Enjoy  f fb f
Politics,You can rib us Punjabis all you want but without our language youd miss out some great music. From Bulleh Shah to Bolly jigs )
Politics,President Obama Our top priority must be to do everything we can to grow the economy and create good middleclass jobs. JobsNow
Sports,GBFedCup Robson holds easily for . Tides changing.
Sports,HT Barcelona  Real Madrid (agg ). Cristiano Ronaldos penalty is the only goal separating the two sides in ElClasico. bbcfootball
Politics,Setting up Nalanda University is an impt diplomatic initiative by India said EAM at the meeting of Consultative Comt of Parliament at Rajgir
Sports,GBFedCup resuming here
Politics,Putin in JanuaryOctober  GDP grew by .% and the average wage by .%
Politics,RT HikarikoOno HikarikoOno PM Abe  Joint press statement with PM Dung go Vietnam Nam on January th. http//t.co/OEay http// ...
Politics,RT PMOIndia PM Parliament is a forum for discussion for dialogue and all parties have an obligation to ensure that Parliament runs ...
Politics,On Jan  PMAbe met with JOCs president Takeda ; some players of London  Olympics; Paralympic Games. http//t.co/bpaMwQ
Politics,Dmitry Medvedev on the Russian language test and Russian law test for immigrants This is standard practice in most countries
Sports,TJFBlood why do you think England will
Sports,Peter Handscomb takes a blinder to dismiss Greg Moller for . Clint McKay picks up his second wicket. QLD  (.) RyobiODC
Politics,HumanRights situation in ASEAN region in rights committee. Live from am CET http//t.co/YutExfU
Sports,RT    Sports       Nation LEBRON JAMES IS ON FIRE nbajamtweets
Sports,DeathEndsFun Fine impression too he has made
Sports,patpatone sorry dont have a picture of that
Sports,It was a manic Monday for Federer in Rotterdam. Read about his busy day http//t.co/JUWqPJ Pic Henk Koster atp http//t.co/wqxglv
Politics,angadrahul thank you angad
Sports,Mahela Jayawardene has injured his finger and will be ruled out of the homes series against Bangladesh
Sports,And now JimmyAnderson gets in on the act having Kane Williamson caught behind. England are flying and NZ are in trouble at  NZvEng
Sports,Wishing Branislav Ivanovic a very happy birthday from all at CFC
Politics,Sen. Akin loses MO Heres part of his concession speech   POTU
Politics,In Mali France should avoid the equally bad options of immediate withdrawal and lengthy occupation http//t.co/raWmJEIbu
Politics,Romney on Election Day says he  wishes his parents were around for this .   POTU
Politics,SecKerry is speaking now Watch his remarks live from UVA http//t.co/rKYsXM
Politics,Foreign Secretarys remarks in Carnegie Endowment Center for International Peace. http//t.co/DRDqWzmKw
Politics,Finance Ministry urges all tax payers to disclose their true income and pay due taxes for the current year.
Politics,PM I speak as PM with a positive vision for future of EU; a future in which Britain wants to play a committed ; active part EUspeech
Politics,Will Chinese Communism survive A debate Yes (http//t.co/mDhTMEw) vs. No (http//t.co/bOLLBD)
Sports,st Test. Over   runs (B Kumar  MS Dhoni ) IND / IndvAus http//t.co/fVNlKTPB BCCI
Politics,India is one of the fastest expanding aerospace markets in the world. AERO INDIA  in Bangalore. http//t.co/nnVJPSeT
Politics,Putin I m sure the French authorities did not want to offend Mr Depardieu. But if he d like to have a Russian passport consider it settled
Sports,GBFedCup First up will be British No.  laurarobson vs Dia Evtimova f/b No.  HeatherWatson v Tsvetana Pironkova
Politics,It s time to turn the page on the last four years. Get your friends and family and go vote http//t.co/uYhQcDS
Sports,VIDEO A special message for our Twitter followers by the Aegon GB FedCup Team http//t.co/kIwEPF Twitter   Sports
Sports,Iamarar Thanks for following
Politics,RT PMOIndia PM   bWe discussed the prospects of enhanced cooperation in the development of the defence industrial base of India.
Sports,What does the future hold for AussieGrit in F Listen to therealdcf on our KeepingTrack podcast http//t.co/YNweOopl CantWaitForAusGP
Sports,GBFedCup Hungary breaks twice to lead
Sports,Novaks triple treat http//t.co/HdclWgD peat ausopenfinal ausopen Djokovic
Sports,Sehwag with glasses on. See ball hit ball... Twenty vision  Those were the lamest puns we could think of. http//t.co/yOOhukJe
Sports,RT NextGenSeries The quarter finals draw will be taking place LIVE on Twitter tomorrow at am NextGenSeries
Sports,UPSET NATION. Minnesota takes down  Indiana. College hoops = INSANITY.
Politics,is almost like the Forgotten Riot. It is invoked all the time as an unnecessary book end for . But wheres the Justice for
Sports,Feb  Two World Cups two Sachin zingers ( v Australia in  and  v England in ) http//t.co/DtGPfben http//t.co/VkSyxGG
Sports,Wigan Atheletic vs Sunderland. Sunday th September  Birmingham vs Liverpool. Monday th September  Stoke City vs Aston Villa.
Sports,Calling all tennis coaches. Check out icoach the online learning tool from the ITF now FREE to all licensed coaches http//t.co/eGhUl
Sports,RT BBCLSX Were now live from the King Power Stadium as Leicester host Blackburn in the Championship. Full commentary now at http ...
Politics,Rolling Stone Mobile  News  Music Norah Jones Accepts Ravi Shankars Posthumous Grammy Honor http//t.co/icWo
Sports,st Test. Over   runs (P Siddle  M Henriques ) AUS / IndvAus http//t.co/fVNlKTPB BCCI
Politics,Witnessing Kapil Sibals VERY different musical/poetic side in Mumbai http//t.co/DKpWcCF
Sports,India will require  runs to defeat Australia in the first Test cricket
Sports,Out Lyon falls to Jadeja caught at shortleg. Gone for  Australia all out for . India need  to win. INDvAUS
Politics,Are Europeans making the most of EU citizenship Find out during hearing of PETI_EU JURI ; EP_Justice NOW http//t.co/WZMuAMmB
Politics,Behind the Scenes What Its Like to be Surprised by the President at the White House http//t.co/JOdHBg
Politics,NorthKorea a loaded gun Do we have a responsiblity to protect Follow foreign affairs debate w EU_eeas at pm CET http//t.co/xRTAgVu
Sports,Bernie Ecclestone Were happy with Melbourne and Id be happy to sign a year contract. http//t.co/EmiYmoPUzd F AusGP
Sports,BupaSS waca_cricket record thrilling twowicket outright win over crickettas http//t.co/RzZFJPit
Politics,On October th one supporter will get a chance to watch the debate with Team RomneyRyan. Enter here http//t.co/xpfdnD
Sports,RT CapitalOne_Cup If youve not seen it TomJenkinspixs stunning CapitalOneCup Final image gallery is worth a few mins of your time ...
Sports,Lewis Baker shoots over with Chelseas first sight of goal.  CFC
Politics,PM sets out his priorities for UKs Presidency of G at World Economic Forum speech in Davos WEF G
Politics,One of Pope Benedicts legacies a bold proposal for global financial reform. http//t.co/EbDunZW
Sports,Wicket Clarke brings Lyon on with immediate result capturing the centurion Kohli at mid on. Out for   INDvAUS
Sports,Sreesanths looked distinctive with his shaven head but bowling has been undistinguished yet. Lost some pace too. Big game for him...
Sports,DoccerP a rarity for my tweets by anyone  on both counts
Sports,ditzybro Thanks ) sleepisfortheweak crew is the best D we love you guys
Sports,. delpotrojuan has a surprise in store for his team... Watch this spycamera video on Facebook http//t.co/TOXnkn atp
Politics,Empire State building illuminated blue for CNNprojected Obama win   POTU
Sports,This is exactly why everyone wants to see KingJames in the dunk contest ; http//t.co/YNTHMAU
Politics,President Obama to Honor Recipients of the  Citizens Medal http//t.co/JrNjy
Politics,MoS Petroleum Smt. Panabakaaa Lakshmi to inaugurate National Convention of Forum of Women in Public Sector (WIPS) tomorrow at Delhi
Politics,EUUS trade deal EUSFTA will be good for growth ; jobs says martinschulz. EP must approve it ; should be involved http//t.co/BlULssET
Sports,Joe Root averages . after his first  ODIs. His lowest score so far  *. NZvEng ODI series to England. http//t.co/IKTzVExKM
Sports,Tufails Too late to light a cigar. Maybe tomorrow night
Politics,Update on Former President NelsonMandela http//t.co/SbqIYPr
Sports,RT PhilGordos I can play  days a year six hours a day. A rejuvenated Ronnie OSullivan announces his snooker return. Watch htt ...
Politics,Video in English Press Conference by Chief Cabinet Secretary Suga (February  (AM)) http//t.co/ZQvsSOV
Sports,INDvAUS Jackson_bird will return home in the next  hours to receive precautionary scans on his back. If scans are clear he will return.
Sports,Tendulkars ton has everybody in the stadium on their feet. Innings of poise control and responsibility. Mumbai need a double from him tho
Politics,SecKerry Programs that foster more stable societies return dollars on every penny invested. civsecatstate
Sports,Djokovic I dedicated all my inner strength passion ; love to this sport. I always dreamt of being best in what I do. What can I say
Sports,silvinhaniele Thanks ) Glad to hear you enjoyed the live stream.
Sports,balkrish Allan Border who drove back with me to the hotel from the ground called it `incredible
Sports,RT GlennMoore Just finished up judging Unsung Hero and Family Club for this years FL awards. Two impressive winners to be revealed ...
Politics,RT WSJindia Nirupama Rao India Will Fight Sexual Violence http//t.co/YnfacJe
Sports,RT HomeOfCricket MCC has announced that from Oct  a bowler breaking the stumps at the bowlers end will be called No ball https ...
Sports,BigBashQFA weve had a sweepstake on when QLD will reach the  set by the blues.  overs methinks. You
Sports,GOAL Too little too late for Barcelona but Jordi Alba volleys home a th minute consolation in ElClasico. Barca  Real (agg )
Politics,Todays Inauguration is a starstudded affair and these celebs arent just bystanders. Theyve been active p  http//t.co/SsfEqJtL
Politics,RT AkbarMEA Parliamentary Consultative Committee on External Affairs to meet in Rajgir (Nalanda) on  Feb to focus on India  Cultur ...
Sports,RT JP_Trophy A late comeback by Coventry was not quite enough and so crewealexfc are going to Wembley  winners on agg. JPT
Politics,Weve just arrived at the AssamManipur border. BCIM http//t.co/TZFsyrq
Sports,RT Mobss GulPanag urgently need blood grp AB+ve in mumbai anyone who can help please contact on this number +/+ ...
Politics,Purpose of meeting is to make full efforts to resolve all pending issues for early implementation of GST.
Politics,// Zindzi Mandela reads out father NelsonMandela s rejection of Pres PW Botha s offer of conditional release http//t.co/MYqnzvY
Sports,TV SELECTION Leicester City v Birmingham City has been selected for live coverage by Sky   Sports        on Friday  April (.pm KO) TVgame
Sports,RT    Sports       Center Kevin Durant ( Pts) is almost halfway to his rd straight point AllStar effort. He is the only player in NBA his ...
Politics,EP this week Syrian refugees Armenian elections violence against women. Article http//t.co/tuiUZsY
Politics,Video in English Press Conference by Chief Cabinet Secretary Suga(January  (PM))http//t.co/bYwTpKep
Sports,Determined England ready for warmup http//t.co/fQIZyixl
Sports,. RafaelNadal says that he now has a much better idea about where his game and body are http//t.co/AJXbVId welcomebackrafa atp
Politics,RT StateDept SecKerry It is hard to tell the leadership of any number of countries they must resolve their economic issues if we don ...
Politics,David Petraeus ends a week in the spotlight behind closed doors on the Hill. Emily Schmidt reports on todays Benghazi testimony PYFR
Sports,GBFedCup Pironkova gets her first hold of the final set. GB still lead
Politics,RT FA_Books Looking to read up on Africa Check out these new titles http//t.co/GeAkDPowz
Sports,Congrats to dcfcofficial ; DCITC whose Active Choices has been shortlisted for the SportIndustry Awards  Community Programme Award
Sports,. McCullum (the B version) hasnt given this up. http//t.co/TrxnHhkL nzveng
Politics,Larger than life pupils take role of MEPs during Euroscola day in PEStrasbourg. Watch live now http//t.co/cRFHpww
Sports,after four. Behrendorff steaming in BBL bigfinals
Sports,Its Joe Root v Eoin Morgan as England close in http//t.co/EYxmICVH cricket NZvEng
Politics,Food Minister States shall be given comfortable time for implementation of the Bill; what we want is effective distribution.
Sports,bucko HomeOfCricket the ICC may well do in their playing conditions
Politics,RT USAinUK John Kerry arrives in London to begin his first overseas visit as Secretary of State SecKerryinUK http//t.co/KfqKcnIlC
Sports,Gasquet wins nd ATPWorldTour title of  with a   win over benoitpaire at the OpenSudFrance. http//t.co/BXOoiD atp tennis
Politics,Dmitry Medvedev MedvedevRussiaE gives a live interview to BloombergTV WEF Davos
Sports,Bushrangers XI White Ahmed Finch Handscomb Hastings Hill Hussey McKay Pattinson Quiney Sheridan RyobiODC
Sports,RT EFFCharity The players after training... http//t.co/pKxIva
Sports,Jerry Buss was a legend not only in basketball but in all of    sports       . The Doctor will be missed.
Sports,carlos_ags Thanks )
Politics,Japan is back says Shinzo Abe. But dont expect that to mean much for his national security policy http//t.co/FnikfwZbLY
Politics,Now Address by Mr. K S Jamestin Director (HR) I/c BD ; JV ONGC http//t.co/FoYqPcm
Politics,Visited National Waterway from KottapuramKollam. Reviewed the construction of new Terminals ; progress wrt Dredging http//t.co/tgAsGHf
Politics,Video in English Press Conference by Chief Cabinet Secretary Suga (January  (PM))http//t.co/rImvA
Politics,The Act covers workplaces in the public and private sector whether organized or unorganized.
Politics,You think you know the EP See the MEPs like youve never seen them before  in our new EP http//t.co/kojwZSss
Politics,iamnarendranath ha ha )
Sports,Signed Sealed and The Lakers Delivered.
Politics,Raj Sabha passed the Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Bill  today
Politics,Zoom in out up and down  see the EP like youve never seen it before   http//t.co/RqMc EP
